gt,eid,uid,cid0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
1,Q5TmTVdy8nnH2vTL73s67ZseaCMO3k91,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,14,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0
1,n51reZ5FTJkHLnQwBqURrmxGDzwEsEjy,AXUJZGmZ0xaYSWazu8RQ1G5c76ECT1Kd,0,0,0,0,0,0,0,0,0,0,2,22,0,14,49,75,32,1,4,4,4,8,6,0,0,0,0,0,7,0
0,stvT2CsolCn3U3jDyapEM27xMS89tgmM,AXUJZGmZ0xaYSWazu8RQ1G5c76ECT1Kd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,27,0,68,0,0,75,0
1,BgWUkLowKG2xEyapznJ6d26papyyKqEi,DPnLzkJJqOOPRJfBxIHbQEERiYHu5ila,1,8,2,0,0,2,3,2,2,0,0,0,2,2,4,0,0,0,2,2,2,0,3,0,0,2,0,0,0,0
1,CB4JYroUtmiKv572P6g4vrvJCi6Pzr9h,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,0,0,0,0,0,0,0,0,0,0,0,0,0,150,21,2,56,106,0,0,0,0,0,0,0,0,0,2,0,0
0,k2JSp3bkSnFCXfzGP6sNaxUIyLpM06TA,DPnLzkJJqOOPRJfBxIHbQEERiYHu5ila,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,1,39,53,20,0,0,0,6,0,0,114
1,jKA4hKBuSbzISvvoIFptgIwJ3giGVbP4,AXUJZGmZ0xaYSWazu8RQ1G5c76ECT1Kd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
0,Xzp28PH417Pe4zt3nn6Hma7PNyk5i7n4,TAYxxh39I2LZnftBpL0LfF2NxzrCKpkx,61,8,0,5,0,23,10,47,0,0,0,0,0,0,43,0,0,0,0,0,0,93,36,0,0,0,0,0,68,0
0,vOozpZBIkUfFRn2kOnlBmTcG6g8L7czm,DPnLzkJJqOOPRJfBxIHbQEERiYHu5ila,0,0,0,0,0,0,32,34,0,0,0,10,34,18,8,36,0,0,10,18,4,36,12,0,0,10,6,6,0,8
0,kMN5uYNaj23K9PVTrdyiL9iDB1lCye57,DPnLzkJJqOOPRJfBxIHbQEERiYHu5ila,0,32,0,15,0,5,0,0,67,4,44,4,38,0,0,38,8,24,61,8,33,0,0,39,0,23,29,51,0,0
1,PT6UXcwKy3wc3VzHkqI3gbGZ6DxtjZzB,AXUJZGmZ0xaYSWazu8RQ1G5c76ECT1Kd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0
0,ukHBMqZsKu2uY0T2zKnGPdxkaqtoTC6x,AXUJZGmZ0xaYSWazu8RQ1G5c76ECT1Kd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,14,0
0,stvT2CsolCn3U3jDyapEM27xMS89tgmM,DPnLzkJJqOOPRJfBxIHbQEERiYHu5ila,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,14,0,112,0,0,24,0,0,0,4,8,136,0,0,0
0,LKw0tUrGkcBUm2fRvkof0usWYFoFxemx,DPnLzkJJqOOPRJfBxIHbQEERiYHu5ila,0,84,0,0,7,0,0,0,0,49,0,0,0,0,0,0,0,0,27,21,60,18,0,0,0,0,41,0,0,0
0,uVLDmOPghHhT60oyUL1Zn5iKNTcxsxkk,DPnLzkJJqOOPRJfBxIHbQEERiYHu5ila,0,67,0,0,0,0,0,0,0,14,0,0,0,45,0,4,43,0,4,0,4,0,35,0,0,3,0,0,0,0
1,jWgeQ7calOYQcs5lv7T9mWy3KUSp4lwk,TAYxxh39I2LZnftBpL0LfF2NxzrCKpkx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,0,0,0,0,0,0
1,5XYE69c4LfrQC3Fl5tLUTFFm57TLZIpn,DPnLzkJJqOOPRJfBxIHbQEERiYHu5ila,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,79,0,0,17,0,0,0,0,4,0
0,FX39OUMp2fc5cOhN2hgQkfpLfm3Fwtwz,DPnLzkJJqOOPRJfBxIHbQEERiYHu5ila,0,0,0,0,0,0,0,0,0,0,0,0,48,87,25,0,0,0,20,150,42,0,8,107,71,0,0,0,0,0
1,vgVuH2n1HbIjn90AvFJXhVQMMzkI4NGS,AXUJZGmZ0xaYSWazu8RQ1G5c76ECT1Kd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,37,0
0,tv0ClTzvkqvjguhBPuLUGH4NenzFrEiQ,AXUJZGmZ0xaYSWazu8RQ1G5c76ECT1Kd,0,0,0,0,0,43,0,0,13,49,0,0,0,0,0,0,0,0,0,0,5,80,7,0,0,33,1,1,25,0
0,Ho7uEM7HH6jDYnlCa28KU8YhZ8xXjH83,DPnLzkJJqOOPRJfBxIHbQEERiYHu5ila,0,0,0,0,0,0,0,0,0,0,0,43,0,21,0,0,0,0,0,0,58,0,0,16,18,0,0,0,0,0
1,gMUrEmEiUIqXJduNf3BaCsWsezGwWuvE,AXUJZGmZ0xaYSWazu8RQ1G5c76ECT1Kd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
0,u4a9xsMW9UMqx1X32x8LQI0FlTLRy0KL,DPnLzkJJqOOPRJfBxIHbQEERiYHu5ila,0,11,12,0,0,0,0,87,0,0,26,0,0,0,0,0,45,0,7,17,11,5,39,0,0,0,0,107,0,0
0,7yFvmsmn9ONFLvVe0ZC5TM9YfzEzN7Z9,DPnLzkJJqOOPRJfBxIHbQEERiYHu5ila,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,23,50,48,0,0,0,64,29,29,0,0,0
0,JiqKlv9JVSAYqCd7z8LQTdQ7V7FEaGiR,AXUJZGmZ0xaYSWazu8RQ1G5c76ECT1Kd,25,0,0,0,36,5,0,0,29,1,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,31,27,5,3,0
0,BkozGGotFoRWvs7kivTQvwwV5JZ8hddc,DPnLzkJJqOOPRJfBxIHbQEERiYHu5ila,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,26,0,0,8,6,0,0,0,0,0,0,0,0,0
0,JERgMmFADxaPxEUdcYHhaMN4ZwNAyErv,AXUJZGmZ0xaYSWazu8RQ1G5c76ECT1Kd,81,86,8,15,6,3,0,13,0,0,29,0,0,0,0,0,37,29,0,0,0,0,0,0,0,26,47,0,11,0
0,LFLcxwCrNiuinAjspGRRRup0s9DizBlW,DPnLzkJJqOOPRJfBxIHbQEERiYHu5ila,1,27,21,0,45,6,4,41,53,0,0,0,14,5,18,0,0,0,26,66,40,0,0,0,0,9,107,0,2,0
0,BkozGGotFoRWvs7kivTQvwwV5JZ8hddc,AXUJZGmZ0xaYSWazu8RQ1G5c76ECT1Kd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,8,59,0,1,18
1,DCi269xliFApyw44YxSzPyj5Pgt2M5tq,AXUJZGmZ0xaYSWazu8RQ1G5c76ECT1Kd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0
